scope,network,ncells,npos,auroc,auroc_mw,auprc,ap
native,fit_lasso,115125,1460,0.9055725398302507,0.9257431204048909,0.6298762292788356,0.6285217946961486
native,fit_corr,119952,1511,0.9953469001208841,0.9956233630014952,0.7416669868979933,0.7419719934164561
native,prior_signs,119952,1511,0.9950713592116228,0.9951455611402742,0.6904066473908,0.6630348570741968
common,fit_lasso,115125,1460,0.9055725398302507,0.9257431204048909,0.6298762292788356,0.6285217946961486
common,fit_corr,115125,1460,0.995278983120858,0.995553609531494,0.743265728945681,0.7435782964154368
common,prior_signs,115125,1460,0.9949331097330048,0.9950104970807631,0.6852351597374664,0.65914212345669
candidate_only,fit_lasso,3241,1506,0.5184671496530695,0.5170583755276684,0.49263944675610655,0.49308184515801223
candidate_only,fit_corr,3241,1506,0.5175934111775758,0.5175936025351046,0.499041715452492,0.4995823578479403
candidate_only,prior_signs,3241,1506,0.5504736098832346,0.5,0.5035628165187159,0.4646713977167541
